# azimuth_deg phase_function
1.045000000000000000e+02 1.215402336113093794e-04
1.055000000000000000e+02 2.069625937544814420e-04
1.065000000000000000e+02 2.517946507142760910e-04
1.075000000000000000e+02 2.722362927307669543e-04
1.085000000000000000e+02 1.442667300382542315e-04
1.095000000000000000e+02 2.343070460815879861e-04
1.105000000000000000e+02 1.390148771717996540e-04
1.115000000000000000e+02 2.027301169878763687e-04
1.125000000000000000e+02 1.374723846273455451e-04
1.135000000000000000e+02 1.405838696533816214e-04
1.145000000000000000e+02 1.755973912084798016e-04
1.155000000000000000e+02 1.522643668269224799e-04
1.165000000000000000e+02 1.493919455954925528e-04
1.175000000000000000e+02 1.237013486268820426e-04
1.185000000000000000e+02 1.709275084568661273e-04
1.195000000000000000e+02 2.369581310624717515e-04
1.205000000000000000e+02 4.966990584439745634e-04
1.215000000000000000e+02 7.719567755231608738e-05
1.225000000000000000e+02 2.228386381439489213e-04
1.235000000000000000e+02 2.266484545629802224e-04
1.245000000000000000e+02 8.052980714181669534e-05
1.255000000000000000e+02 2.550451710199507730e-04
1.265000000000000000e+02 5.956176059846220465e-05
1.275000000000000000e+02 1.858555323239714579e-04
1.285000000000000000e+02 1.360464140640925206e-04
1.295000000000000000e+02 1.152213210063778514e-04
1.305000000000000000e+02 2.148507300570807522e-04
1.315000000000000000e+02 2.647212333233969414e-04
1.325000000000000000e+02 7.343599045951321115e-05
1.335000000000000000e+02 2.194627723146212392e-04
1.345000000000000000e+02 1.238188062705460003e-04
1.355000000000000000e+02 7.531197864221182193e-05
1.365000000000000000e+02 2.761514218243484877e-04
1.375000000000000000e+02 1.560812289843795250e-04
1.385000000000000000e+02 2.087391707803491129e-04
1.395000000000000000e+02 1.621341331342023419e-04
1.405000000000000000e+02 2.220872967514602001e-04
1.415000000000000000e+02 2.490243546542094625e-04
1.425000000000000000e+02 5.080980797346440307e-04
1.435000000000000000e+02 4.991454544568730591e-04
1.445000000000000000e+02 5.330666596710730920e-04
1.455000000000000000e+02 7.151704432913418919e-04
1.465000000000000000e+02 7.279284728420020714e-04
1.475000000000000000e+02 6.521677980837244787e-04
1.485000000000000000e+02 7.634978627443398617e-04
1.495000000000000000e+02 1.041590566066280012e-03
1.505000000000000000e+02 8.527416452882722112e-04
1.515000000000000000e+02 8.822235387419887507e-04
1.525000000000000000e+02 1.112074388470315599e-03
1.535000000000000000e+02 1.298635727031869627e-03
1.545000000000000000e+02 2.262868955027723047e-03
1.555000000000000000e+02 1.709218061609426957e-03
1.565000000000000000e+02 5.977675617289427909e-04
1.575000000000000000e+02 1.468036866338750775e-03
1.585000000000000000e+02 1.101247830011833862e-03
1.595000000000000000e+02 5.471624759025768038e-04
1.605000000000000000e+02 6.267233014940577296e-04
1.615000000000000000e+02 4.000471409101075300e-04
1.625000000000000000e+02 2.002820771769034630e-04
1.635000000000000000e+02 2.420023503425870585e-04
1.645000000000000000e+02 1.668300675760037936e-04
1.655000000000000000e+02 1.989930984985157508e-04
1.665000000000000000e+02 1.813183116391782501e-04
1.675000000000000000e+02 3.312042533178917100e-04
1.685000000000000000e+02 1.869269265256888728e-04
1.695000000000000000e+02 6.730197048222957574e-04
1.705000000000000000e+02 5.660169138025298707e-04
1.715000000000000000e+02 1.454679213856002035e-04
1.725000000000000000e+02 2.912958682259332685e-04
1.735000000000000000e+02 2.480379052877711762e-04
1.745000000000000000e+02 1.660486564928616120e-04
1.755000000000000000e+02 2.194540430459331407e-04
1.765000000000000000e+02 2.238092692908297049e-04
1.775000000000000000e+02 2.812652823853410201e-04
1.785000000000000000e+02 1.149273710885718644e-04
1.795000000000000000e+02 2.872942524375121957e-04
1.805000000000000000e+02 1.707033170445269117e-04
1.815000000000000000e+02 2.795110111394370029e-04
1.825000000000000000e+02 1.166816423344754343e-04
1.835000000000000000e+02 1.961722341702886471e-04
1.845000000000000000e+02 2.470910781664750928e-04
1.855000000000000000e+02 3.000510553978338532e-04
1.865000000000000000e+02 1.140355063828044508e-04
1.875000000000000000e+02 2.039181261826153088e-04
1.885000000000000000e+02 2.328456634289253731e-04
1.895000000000000000e+02 4.816880307961966747e-04
1.905000000000000000e+02 7.573485878286161056e-04
1.915000000000000000e+02 3.333818259315497680e-04
1.925000000000000000e+02 1.847493539120304896e-04
1.935000000000000000e+02 9.519787815337892891e-05
1.945000000000000000e+02 2.851135319843136760e-04
1.955000000000000000e+02 3.442558549612051476e-04
1.965000000000000000e+02 6.457656295738479644e-05
1.975000000000000000e+02 3.987035888593937357e-04
1.985000000000000000e+02 2.016256292276240878e-04
1.995000000000000000e+02 7.510288012564042635e-04
2.005000000000000000e+02 4.228569761402169343e-04
2.015000000000000000e+02 7.030389673404914682e-04
2.025000000000000000e+02 1.866245729010101951e-03
2.035000000000000000e+02 9.788550470080468070e-04
2.045000000000000000e+02 1.328130576330322074e-03
2.055000000000000000e+02 1.393862805904825782e-03
2.065000000000000000e+02 2.167641876154720489e-03
2.075000000000000000e+02 1.403828819431953475e-03
2.085000000000000000e+02 5.904691077804535490e-04
2.095000000000000000e+02 1.111514018623563707e-03
2.105000000000000000e+02 7.828181927310073809e-04
2.115000000000000000e+02 7.136369491314526001e-04
2.125000000000000000e+02 7.020287116966254012e-04
2.135000000000000000e+02 9.100015084548860678e-04
2.145000000000000000e+02 5.330974076784084558e-04
2.155000000000000000e+02 6.337743468250277160e-04
2.165000000000000000e+02 3.984377673029316082e-04
2.175000000000000000e+02 6.824309851406289412e-04
2.185000000000000000e+02 7.469144924822176024e-05
2.195000000000000000e+02 2.492702049767960113e-04
2.205000000000000000e+02 1.349512249088708133e-04
2.215000000000000000e+02 2.860227842340171155e-04
2.225000000000000000e+02 7.879761553072660632e-05
2.235000000000000000e+02 1.279832618450886051e-04
2.245000000000000000e+02 2.234801386214761091e-04
2.255000000000000000e+02 1.464635201469643695e-04
2.265000000000000000e+02 1.968180584382004305e-04
2.275000000000000000e+02 1.235565631910615569e-04
2.285000000000000000e+02 2.146006605918439336e-04
2.295000000000000000e+02 2.884350371174377843e-04
2.305000000000000000e+02 4.163701394602697210e-05
2.315000000000000000e+02 2.090783017731609233e-04
2.325000000000000000e+02 1.128236446149028112e-04
2.335000000000000000e+02 2.546668459502542548e-04
2.345000000000000000e+02 5.994008566815039481e-05
2.355000000000000000e+02 2.502911913436871305e-04
2.365000000000000000e+02 5.688707036110699541e-05
2.375000000000000000e+02 1.260081546152830507e-04
2.385000000000000000e+02 1.740261610809766318e-04
2.395000000000000000e+02 3.433860337017337816e-04
2.405000000000000000e+02 3.902711558047046729e-04
2.415000000000000000e+02 1.462345268631324636e-04
2.425000000000000000e+02 1.483943302206177121e-04
2.435000000000000000e+02 1.985942077393425904e-04
2.445000000000000000e+02 1.030621046830699892e-04
2.455000000000000000e+02 1.807123191735208925e-04
2.465000000000000000e+02 1.354689416883398257e-04
2.475000000000000000e+02 2.677670159141878003e-04
2.485000000000000000e+02 7.243548570102731018e-05
2.495000000000000000e+02 1.483285881905231228e-04
2.505000000000000000e+02 2.249933350628590691e-04
2.515000000000000000e+02 3.739367112382984055e-04
2.525000000000000000e+02 4.256631153072595159e-05
2.535000000000000000e+02 3.567359437941468986e-04
2.545000000000000000e+02 1.020213006746055522e-04
2.555000000000000000e+02 1.788244070199760804e-04
2.565000000000000000e+02 3.405565628388913758e-04
2.575000000000000000e+02 3.555931182564225261e-04
2.585000000000000000e+02 2.191245285922322253e-04
2.595000000000000000e+02 2.627239214609869119e-04
2.605000000000000000e+02 3.701862464375104225e-04
2.615000000000000000e+02 4.196733370893166023e-04
2.625000000000000000e+02 3.235069834427542501e-04
2.635000000000000000e+02 4.553392571326945570e-04
2.645000000000000000e+02 3.005241313956647864e-04
2.655000000000000000e+02 3.265330361735296113e-04
2.665000000000000000e+02 4.769130321813805861e-04
2.675000000000000000e+02 3.195497111192278201e-04
2.685000000000000000e+02 5.098593940832856289e-04
2.695000000000000000e+02 5.452158755472363188e-04
2.705000000000000000e+02 3.115262748595927804e-04
2.715000000000000000e+02 3.996861274070720969e-04
2.725000000000000000e+02 4.522768457799766447e-04
2.735000000000000000e+02 1.513145927899034492e-04
2.745000000000000000e+02 7.559863190013947935e-04
2.755000000000000000e+02 5.084226487669945725e-04
2.765000000000000000e+02 4.539583940582485083e-04
2.775000000000000000e+02 3.848642253497299858e-04
2.785000000000000000e+02 6.540032495372171762e-04
2.795000000000000000e+02 5.115146217592281101e-04
2.805000000000000000e+02 5.679843460353661616e-04
2.815000000000000000e+02 2.469183464033941925e-04
2.825000000000000000e+02 8.594522450360555978e-04
2.835000000000000000e+02 7.003254234039607779e-04
2.845000000000000000e+02 7.624359297580145028e-04
2.855000000000000000e+02 7.995374887219468219e-04
2.865000000000000000e+02 1.192527735665556985e-03
2.875000000000000000e+02 7.822950440050406226e-04
2.885000000000000000e+02 1.462487570438676925e-03
2.895000000000000000e+02 1.309119937314408245e-04
2.905000000000000000e+02 1.273067515983165171e-03
2.915000000000000000e+02 3.853250085801461977e-04
2.925000000000000000e+02 8.716605582751946408e-04
2.935000000000000000e+02 5.780159157825160918e-04
2.945000000000000000e+02 8.481313572759494003e-04
2.955000000000000000e+02 2.890977620123426437e-04
2.965000000000000000e+02 9.906164588449463491e-04
2.975000000000000000e+02 5.032636530483742708e-04
2.985000000000000000e+02 7.682772097357019403e-04
2.995000000000000000e+02 8.012919156596740424e-04
3.005000000000000000e+02 4.681968314687439412e-04
3.015000000000000000e+02 3.000464038990523262e-04
3.025000000000000000e+02 9.818262642796011207e-04
3.035000000000000000e+02 2.543727917808793560e-04
3.045000000000000000e+02 1.001150411903154076e-03
3.055000000000000000e+02 4.913883421463691306e-05
3.065000000000000000e+02 1.188451978410900349e-03
