# scattering_angle_deg phase_function
6.750000000000000000e+01 9.801079984373534375e-04
6.850000000000000000e+01 1.533863135273280101e-03
6.950000000000000000e+01 1.244819642091804079e-03
7.050000000000000000e+01 1.563139377337363243e-03
7.150000000000000000e+01 2.748119145219375409e-03
7.250000000000000000e+01 1.741446083667839593e-03
7.350000000000000000e+01 1.917399045402479055e-03
7.450000000000000000e+01 2.066731403372473047e-03
7.550000000000000000e+01 1.999763758052209000e-03
7.650000000000000000e+01 9.257589482716895198e-04
7.750000000000000000e+01 1.103850063182167801e-03
7.850000000000000000e+01 1.108891119696607747e-03
7.950000000000000000e+01 1.377722587241158540e-03
8.050000000000000000e+01 7.812753483479909725e-04
8.150000000000000000e+01 1.448742292789054762e-03
8.250000000000000000e+01 6.289926569848174444e-04
8.350000000000000000e+01 5.092567482435355220e-04
8.450000000000000000e+01 1.415505337406914753e-03
8.550000000000000000e+01 9.515761268339377596e-04
8.650000000000000000e+01 8.630256967485888490e-04
8.750000000000000000e+01 6.311195271916963034e-04
8.850000000000000000e+01 1.072806419182392506e-03
8.950000000000000000e+01 9.635635397043911671e-04
9.050000000000000000e+01 7.499207611092779816e-04
9.150000000000000000e+01 7.354124614123333211e-04
9.250000000000000000e+01 9.234057489926549792e-04
9.350000000000000000e+01 9.348570839182008228e-04
9.450000000000000000e+01 6.720350527915662292e-04
9.550000000000000000e+01 6.263832787602117416e-04
9.650000000000000000e+01 8.853434982964440616e-04
9.750000000000000000e+01 7.805245629117586520e-04
9.850000000000000000e+01 7.058360781522444918e-04
9.950000000000000000e+01 5.049393804828828693e-04
1.005000000000000000e+02 7.608809553140526019e-04
1.015000000000000000e+02 4.579391295239142526e-04
1.025000000000000000e+02 6.914961641733470034e-04
1.035000000000000000e+02 7.733740377212817855e-04
1.045000000000000000e+02 2.653879019964496574e-04
1.055000000000000000e+02 3.118689879687217286e-04
1.065000000000000000e+02 6.056455009687856939e-04
1.075000000000000000e+02 3.333451670183493198e-04
1.085000000000000000e+02 4.996608785196695246e-04
1.095000000000000000e+02 2.819531305364765279e-04
1.105000000000000000e+02 4.646907159702736529e-04
1.115000000000000000e+02 2.229220521360812776e-04
1.125000000000000000e+02 4.574829510943469917e-04
1.135000000000000000e+02 1.529321948972291254e-04
1.145000000000000000e+02 4.794303268264783519e-04
1.155000000000000000e+02 1.793547014902053378e-04
