# theta_deg   phase_function   DoLP
1.26875000e+02 8.77298082e-03 5.13642737e-01
1.27125000e+02 8.67504830e-03 5.15528783e-01
1.27375000e+02 8.92041261e-03 5.23812498e-01
1.27625000e+02 9.23594145e-03 5.35938098e-01
1.27875000e+02 9.62031500e-03 5.51578536e-01
1.28125000e+02 1.01748669e-02 5.68679632e-01
1.28375000e+02 1.07667094e-02 5.88508605e-01
1.28625000e+02 1.15935877e-02 6.12035517e-01
1.28875000e+02 1.27127267e-02 6.36771229e-01
1.29125000e+02 1.44041460e-02 6.64174934e-01
1.29375000e+02 1.71511514e-02 6.95533149e-01
1.29625000e+02 2.33875060e-02 7.33916605e-01
1.29875000e+02 3.57535467e-02 7.68513316e-01
1.30125000e+02 1.92110439e-03 2.91112991e-01
1.30375000e+02 1.91407837e-03 2.83525549e-01
1.30625000e+02 1.87786172e-03 2.81080093e-01
1.30875000e+02 1.86710277e-03 2.74257619e-01
1.31125000e+02 1.82195322e-03 2.80396756e-01
1.31375000e+02 1.79626465e-03 2.75752629e-01
1.31625000e+02 1.78461894e-03 2.71303925e-01
1.31875000e+02 1.76793512e-03 2.74387314e-01
1.32125000e+02 1.75594641e-03 2.71022784e-01
1.32375000e+02 1.72659307e-03 2.74725226e-01
1.32625000e+02 1.70062195e-03 2.72482824e-01
1.32875000e+02 1.69209178e-03 2.75355856e-01
1.33125000e+02 1.70093474e-03 2.72960714e-01
1.33375000e+02 1.67667481e-03 2.71076805e-01
1.33625000e+02 1.66695959e-03 2.69341273e-01
1.33875000e+02 1.65386903e-03 2.70077830e-01
1.34125000e+02 1.66481896e-03 2.67542735e-01
1.34375000e+02 1.64211538e-03 2.65344838e-01
1.34625000e+02 1.65531937e-03 2.62051504e-01
1.34875000e+02 1.65273302e-03 2.58892567e-01
1.35125000e+02 1.64962604e-03 2.55804264e-01
1.35375000e+02 1.63104368e-03 2.52933588e-01
1.35625000e+02 1.64373629e-03 2.49457236e-01
1.35875000e+02 1.65732217e-03 2.46428586e-01
1.36125000e+02 1.63864463e-03 2.43506930e-01
1.36375000e+02 1.63641637e-03 2.40674620e-01
1.36625000e+02 1.63357545e-03 2.37561305e-01
1.36875000e+02 1.64774932e-03 2.34859607e-01
1.37125000e+02 1.62908940e-03 2.31915042e-01
1.37375000e+02 6.61021019e-02 9.00783840e-01
1.37625000e+02 1.98097864e-01 9.01079644e-01
1.37875000e+02 1.05138123e-01 8.69926531e-01
1.38125000e+02 8.24194264e-02 8.42978868e-01
1.38375000e+02 7.04342364e-02 8.17846623e-01
1.38625000e+02 6.28111728e-02 7.93668645e-01
1.38875000e+02 5.74398850e-02 7.70568972e-01
1.39125000e+02 5.33392506e-02 7.47620207e-01
1.39375000e+02 5.01030169e-02 7.25887078e-01
1.39625000e+02 4.74057947e-02 7.05029243e-01
1.39875000e+02 4.51945452e-02 6.84274848e-01
1.40125000e+02 4.32893064e-02 6.64402247e-01
1.40375000e+02 4.17854275e-02 6.44490678e-01
1.40625000e+02 4.02189683e-02 6.26028632e-01
1.40875000e+02 3.89584572e-02 6.07155438e-01
1.41125000e+02 3.77441715e-02 5.89473311e-01
1.41375000e+02 3.66603198e-02 5.71946766e-01
1.41625000e+02 3.57830708e-02 5.54553790e-01
1.41875000e+02 3.48955274e-02 5.38235909e-01
1.42125000e+02 3.39276975e-02 5.22146682e-01
1.42375000e+02 3.31607984e-02 5.06351138e-01
1.42625000e+02 3.26230364e-02 4.89678390e-01
1.42875000e+02 3.18876955e-02 4.75546882e-01
1.43125000e+02 3.12647443e-02 4.60124461e-01
1.43375000e+02 3.06833820e-02 4.45271408e-01
1.43625000e+02 3.00736455e-02 4.31725672e-01
1.43875000e+02 2.94326304e-02 4.17844605e-01
1.44125000e+02 2.90635238e-02 4.03516830e-01
1.44375000e+02 2.83768220e-02 3.91530520e-01
1.44625000e+02 2.79384610e-02 3.78388927e-01
1.44875000e+02 2.74950733e-02 3.64619898e-01
1.45125000e+02 2.74162832e-02 3.49988632e-01
1.45375000e+02 2.66407824e-02 3.40665508e-01
1.45625000e+02 2.60963744e-02 3.28884198e-01
1.45875000e+02 2.59893776e-02 3.16274268e-01
1.46125000e+02 2.54468045e-02 3.04833674e-01
1.46375000e+02 2.52705557e-02 2.93638565e-01
1.46625000e+02 2.47085585e-02 2.83911044e-01
1.46875000e+02 2.41403455e-02 2.74962868e-01
1.47125000e+02 2.43076741e-02 2.62048495e-01
1.47375000e+02 2.36741854e-02 2.54338763e-01
1.47625000e+02 2.31419328e-02 2.48344532e-01
1.47875000e+02 2.32083599e-02 2.35908372e-01
1.48125000e+02 2.26228686e-02 2.31460484e-01
1.48375000e+02 2.27215477e-02 2.20217892e-01
1.48625000e+02 2.20889804e-02 2.17283005e-01
1.48875000e+02 2.18881850e-02 2.12768957e-01
1.49125000e+02 2.16703302e-02 2.09661407e-01
1.49375000e+02 2.16096902e-02 2.11102216e-01
1.49625000e+02 2.26494103e-02 2.27258992e-01
1.49875000e+02 2.05993841e-02 1.95960278e-01
1.50125000e+02 1.92935088e-02 1.64056283e-01
1.50375000e+02 1.92998872e-02 1.53078713e-01
1.50625000e+02 1.88730343e-02 1.47080782e-01
1.50875000e+02 1.84993085e-02 1.42024840e-01
1.51125000e+02 1.80560227e-02 1.36993900e-01
1.51375000e+02 1.80665861e-02 1.27422983e-01
1.51625000e+02 1.76232356e-02 1.22983640e-01
1.51875000e+02 1.72047710e-02 1.19641197e-01
1.52125000e+02 1.67505881e-02 1.16341420e-01
1.52375000e+02 1.66769051e-02 1.07243288e-01
1.52625000e+02 1.62572618e-02 1.05224723e-01
1.52875000e+02 1.58197657e-02 1.03855772e-01
1.53125000e+02 1.57613251e-02 9.54445301e-02
1.53375000e+02 1.53005107e-02 9.49167360e-02
1.53625000e+02 1.52168483e-02 8.69817357e-02
1.53875000e+02 1.47653211e-02 8.73523854e-02
1.54125000e+02 1.47017987e-02 8.04345616e-02
1.54375000e+02 1.42315296e-02 8.12102478e-02
1.54625000e+02 1.37658461e-02 8.33035446e-02
1.54875000e+02 1.36811075e-02 7.66716784e-02
1.55125000e+02 1.35869373e-02 7.08116056e-02
1.55375000e+02 1.31484063e-02 7.41822714e-02
1.55625000e+02 1.26599848e-02 7.78562819e-02
1.55875000e+02 1.25954867e-02 7.27946591e-02
1.56125000e+02 1.25069709e-02 6.80368877e-02
1.56375000e+02 1.20395177e-02 7.30637489e-02
1.56625000e+02 1.19342362e-02 6.88618900e-02
1.56875000e+02 1.15249476e-02 7.54623357e-02
1.57125000e+02 1.14349079e-02 7.17573119e-02
1.57375000e+02 1.09986349e-02 7.88638283e-02
1.57625000e+02 1.09121502e-02 7.56406659e-02
1.57875000e+02 1.08171671e-02 7.27877304e-02
1.58125000e+02 1.04332365e-02 8.14880256e-02
1.58375000e+02 1.03151018e-02 7.86029407e-02
1.58625000e+02 1.02330240e-02 7.65733092e-02
1.58875000e+02 9.86483420e-03 8.61647066e-02
1.59125000e+02 9.77687124e-03 8.44268997e-02
1.59375000e+02 9.45651363e-03 9.41650499e-02
1.59625000e+02 9.36661395e-03 9.20975711e-02
1.59875000e+02 9.26970151e-03 9.09473181e-02
1.60125000e+02 9.00687479e-03 1.00417125e-01
1.60375000e+02 8.92502127e-03 9.90904507e-02
1.60625000e+02 8.83904492e-03 9.77492129e-02
1.60875000e+02 8.77491500e-03 9.75851029e-02
1.61125000e+02 8.54076215e-03 1.05598761e-01
1.61375000e+02 8.48138615e-03 1.04553759e-01
1.61625000e+02 8.29163880e-03 1.11310920e-01
1.61875000e+02 8.26637838e-03 1.09322622e-01
1.62125000e+02 8.19509736e-03 1.07596774e-01
1.62375000e+02 8.16339641e-03 1.06607406e-01
1.62625000e+02 8.10062113e-03 1.05446755e-01
1.62875000e+02 8.00021921e-03 1.08375880e-01
1.63125000e+02 8.00065303e-03 1.06402469e-01
1.63375000e+02 7.88421203e-03 1.06592533e-01
1.63625000e+02 7.92441112e-03 1.01918461e-01
1.63875000e+02 7.88195315e-03 1.01232554e-01
1.64125000e+02 7.84080578e-03 9.83783148e-02
1.64375000e+02 7.85540841e-03 9.58281683e-02
1.64625000e+02 7.82196768e-03 9.25477048e-02
1.64875000e+02 7.84594384e-03 8.94144199e-02
1.65125000e+02 7.81224739e-03 8.62993432e-02
1.65375000e+02 7.82232245e-03 8.31564599e-02
1.65625000e+02 7.80310164e-03 8.03131225e-02
1.65875000e+02 7.77069023e-03 7.73664003e-02
1.66125000e+02 7.79503647e-03 7.45809103e-02
1.66375000e+02 7.80546161e-03 7.17017396e-02
1.66625000e+02 7.75846774e-03 6.90348785e-02
1.66875000e+02 7.78299344e-03 6.64208356e-02
1.67125000e+02 7.76563672e-03 6.36932664e-02
1.67375000e+02 7.74737457e-03 6.12345316e-02
1.67625000e+02 7.78670526e-03 5.87184698e-02
1.67875000e+02 7.74013258e-03 5.63298030e-02
1.68125000e+02 7.75158464e-03 5.38933996e-02
1.68375000e+02 7.73364750e-03 5.16531623e-02
1.68625000e+02 7.74515025e-03 4.93250061e-02
1.68875000e+02 7.72742166e-03 4.71996585e-02
1.69125000e+02 7.73908298e-03 4.49936497e-02
1.69375000e+02 7.70814827e-03 4.28847700e-02
1.69625000e+02 7.71896848e-03 4.09346757e-02
1.69875000e+02 7.73072463e-03 3.88916958e-02
1.70125000e+02 7.68554792e-03 3.70046667e-02
1.70375000e+02 7.72589706e-03 3.51063896e-02
1.70625000e+02 7.69521650e-03 3.32615239e-02
1.70875000e+02 7.69314897e-03 3.15072438e-02
1.71125000e+02 7.70427475e-03 2.98526435e-02
1.71375000e+02 7.68872106e-03 2.81359642e-02
1.71625000e+02 7.68668217e-03 2.65185817e-02
1.71875000e+02 7.71247539e-03 2.49871396e-02
1.72125000e+02 7.68212102e-03 2.34612368e-02
1.72375000e+02 7.66580570e-03 2.20278132e-02
1.72625000e+02 7.67906245e-03 2.06083212e-02
1.72875000e+02 7.67732796e-03 1.92515407e-02
1.73125000e+02 7.67562368e-03 1.79427872e-02
1.73375000e+02 7.67406210e-03 1.66962760e-02
1.73625000e+02 7.67243653e-03 1.54868796e-02
1.73875000e+02 7.67094788e-03 1.43394989e-02
1.74125000e+02 7.66945065e-03 1.32358346e-02
1.74375000e+02 7.66794017e-03 1.21767813e-02
1.74625000e+02 7.63923909e-03 1.11750574e-02
1.74875000e+02 7.66645161e-03 1.02224234e-02
1.75125000e+02 7.66516767e-03 9.32392222e-03
1.75375000e+02 7.66391681e-03 8.47700646e-03
1.75625000e+02 7.63533498e-03 7.65276963e-03
1.75875000e+02 7.66297753e-03 6.91721226e-03
1.76125000e+02 7.66175284e-03 6.21045599e-03
1.76375000e+02 7.63366585e-03 5.56956026e-03
1.76625000e+02 7.66145322e-03 4.96977044e-03
1.76875000e+02 7.66044394e-03 4.43551531e-03
1.77125000e+02 7.63276350e-03 3.96682009e-03
1.77375000e+02 7.66078700e-03 3.51430708e-03
1.77625000e+02 7.66013619e-03 3.18818729e-03
1.77875000e+02 7.63266177e-03 2.86875276e-03
1.78125000e+02 7.66178123e-03 2.67865060e-03
1.78375000e+02 7.63539007e-03 2.56620287e-03
1.78625000e+02 7.66566447e-03 2.57997657e-03
1.78875000e+02 7.64120042e-03 2.76312593e-03
1.79125000e+02 7.67485859e-03 3.22599648e-03
1.79375000e+02 7.65739790e-03 4.26346418e-03
1.79625000e+02 7.71008473e-03 6.87210716e-03
1.79875000e+02 7.80649190e-03 2.02172358e-02
