# theta_deg   phase_function   DoLP
2.86250000e+01 4.05007944e-01 -3.96654041e-02
2.88750000e+01 4.00961139e-01 -4.07745737e-02
2.91250000e+01 3.92676547e-01 -4.16443039e-02
2.93750000e+01 3.87195709e-01 -4.18196662e-02
2.96250000e+01 3.81115971e-01 -4.28211510e-02
2.98750000e+01 3.72972454e-01 -4.36773113e-02
3.01250000e+01 3.69083751e-01 -4.48243176e-02
3.03750000e+01 3.63709405e-01 -4.49999306e-02
3.06250000e+01 3.55701562e-01 -4.58600197e-02
3.08750000e+01 3.51901228e-01 -4.70346674e-02
3.11250000e+01 3.44002267e-01 -4.78906232e-02
3.13750000e+01 3.40813113e-01 -4.82320771e-02
3.16250000e+01 3.32482470e-01 -4.99625625e-02
3.18750000e+01 3.29331554e-01 -5.02911129e-02
3.21250000e+01 3.24154220e-01 -5.04433365e-02
3.23750000e+01 3.18007783e-01 -5.23541416e-02
3.26250000e+01 3.10910949e-01 -5.23414872e-02
3.28750000e+01 3.08924389e-01 -5.46846172e-02
3.31250000e+01 3.02304315e-01 -5.36869426e-02
3.33750000e+01 2.96393619e-01 -5.56575255e-02
3.36250000e+01 2.92983978e-01 -5.69226532e-02
3.38750000e+01 2.87962513e-01 -5.69909944e-02
3.41250000e+01 2.82694562e-01 -5.81027645e-02
3.43750000e+01 2.77300548e-01 -5.90507977e-02
3.46250000e+01 2.74416760e-01 -5.94001224e-02
3.48750000e+01 2.69207835e-01 -6.04266765e-02
3.51250000e+01 2.63571609e-01 -6.23535162e-02
3.53750000e+01 2.61151389e-01 -6.17165295e-02
3.56250000e+01 2.55591862e-01 -6.36159814e-02
3.58750000e+01 2.50916474e-01 -6.36097815e-02
3.61250000e+01 2.47331246e-01 -6.57776364e-02
3.63750000e+01 2.42712731e-01 -6.57229127e-02
3.66250000e+01 2.39986529e-01 -6.59199327e-02
3.68750000e+01 2.34620079e-01 -6.77832112e-02
3.71250000e+01 2.30154211e-01 -6.76115087e-02
3.73750000e+01 2.28904841e-01 -6.90422960e-02
3.76250000e+01 2.22226160e-01 -6.95155073e-02
3.78750000e+01 2.19260997e-01 -7.05451083e-02
3.81250000e+01 2.16624798e-01 -7.05898199e-02
3.83750000e+01 2.11879882e-01 -7.12132445e-02
3.86250000e+01 2.09035117e-01 -7.21300890e-02
3.88750000e+01 2.04350215e-01 -7.26480576e-02
3.91250000e+01 2.01767099e-01 -7.25340503e-02
3.93750000e+01 1.98979948e-01 -7.32603322e-02
3.96250000e+01 1.94431036e-01 -7.35724725e-02
3.98750000e+01 1.91671761e-01 -7.42171701e-02
4.01250000e+01 1.87190191e-01 -7.43044239e-02
4.03750000e+01 1.84799984e-01 -7.36343241e-02
4.06250000e+01 1.82207916e-01 -7.37630560e-02
4.08750000e+01 1.79557379e-01 -7.39882938e-02
4.11250000e+01 1.75281492e-01 -7.33460650e-02
4.13750000e+01 1.73128622e-01 -7.16204310e-02
4.16250000e+01 1.70482103e-01 -7.17870582e-02
4.18750000e+01 1.68489983e-01 -6.90367955e-02
4.21250000e+01 1.66743459e-01 -6.49462400e-02
4.23750000e+01 1.70268490e-01 -2.66073000e-02
4.26250000e+01 1.67449072e-01 -2.74268730e-02
4.28750000e+01 1.64882996e-01 -2.62619870e-02
4.31250000e+01 1.51560211e-01 -8.30746278e-02
4.33750000e+01 1.47081184e-01 -8.52626687e-02
4.36250000e+01 1.45948695e-01 -8.83395311e-02
4.38750000e+01 1.41850716e-01 -8.86870843e-02
4.41250000e+01 1.39230815e-01 -9.05918672e-02
4.43750000e+01 1.38207884e-01 -9.31674894e-02
4.46250000e+01 1.34235500e-01 -9.30673923e-02
4.48750000e+01 1.31488539e-01 -9.60076716e-02
4.51250000e+01 1.29210007e-01 -9.62659578e-02
4.53750000e+01 1.26700129e-01 -9.78791598e-02
4.56250000e+01 1.24441329e-01 -9.80847499e-02
4.58750000e+01 1.21775959e-01 -1.00872423e-01
4.61250000e+01 1.19547241e-01 -1.00974847e-01
4.63750000e+01 1.17190781e-01 -1.02289693e-01
4.66250000e+01 1.14766756e-01 -1.03683490e-01
4.68750000e+01 1.12448457e-01 -1.04939714e-01
4.71250000e+01 1.10244257e-01 -1.04818849e-01
4.73750000e+01 1.07958794e-01 -1.06021967e-01
4.76250000e+01 1.07150397e-01 -1.08131013e-01
4.78750000e+01 1.03406494e-01 -1.08337858e-01
4.81250000e+01 1.01311557e-01 -1.07968278e-01
4.83750000e+01 1.00366618e-01 -1.11501719e-01
4.86250000e+01 9.68829852e-02 -1.09985227e-01
4.88750000e+01 9.61218775e-02 -1.12068655e-01
4.91250000e+01 9.40898808e-02 -1.11512373e-01
4.93750000e+01 9.17953853e-02 -1.13957202e-01
4.96250000e+01 8.98093183e-02 -1.13252581e-01
4.98750000e+01 8.90785676e-02 -1.15316353e-01
5.01250000e+01 8.56333461e-02 -1.14921257e-01
5.03750000e+01 8.50541764e-02 -1.15341231e-01
5.06250000e+01 8.28629253e-02 -1.17711022e-01
5.08750000e+01 8.09819554e-02 -1.16796763e-01
5.11250000e+01 7.89773704e-02 -1.17439514e-01
5.13750000e+01 7.69914895e-02 -1.18004154e-01
5.16250000e+01 7.64607494e-02 -1.18403182e-01
5.18750000e+01 7.45070430e-02 -1.18940999e-01
5.21250000e+01 7.25787380e-02 -1.19426205e-01
5.23750000e+01 7.19320776e-02 -1.21500366e-01
5.26250000e+01 6.87829004e-02 -1.20236919e-01
5.28750000e+01 6.82874328e-02 -1.20494345e-01
5.31250000e+01 6.75325009e-02 -1.24360054e-01
5.33750000e+01 6.45902947e-02 -1.20988224e-01
5.36250000e+01 6.41061375e-02 -1.21189628e-01
5.38750000e+01 6.21806255e-02 -1.23145166e-01
5.41250000e+01 6.16997028e-02 -1.23331022e-01
5.43750000e+01 5.86353624e-02 -1.23124356e-01
5.46250000e+01 5.82918207e-02 -1.21256346e-01
5.48750000e+01 5.75976200e-02 -1.25232504e-01
5.51250000e+01 5.58741178e-02 -1.25039782e-01
5.53750000e+01 5.42855593e-02 -1.22690740e-01
5.56250000e+01 5.26093714e-02 -1.22218202e-01
5.58750000e+01 5.20635168e-02 -1.24184743e-01
5.61250000e+01 5.04177112e-02 -1.23586807e-01
5.63750000e+01 4.99840511e-02 -1.23436484e-01
5.66250000e+01 4.83681961e-02 -1.22638673e-01
5.68750000e+01 4.66764930e-02 -1.23887219e-01
5.71250000e+01 4.63620053e-02 -1.21377291e-01
5.73750000e+01 4.47037580e-02 -1.22435507e-01
5.76250000e+01 4.32683431e-02 -1.18827027e-01
5.78750000e+01 4.26785407e-02 -1.22961172e-01
5.81250000e+01 4.22755479e-02 -1.22475079e-01
5.83750000e+01 3.98848488e-02 -1.14858149e-01
5.86250000e+01 4.02990764e-02 -1.22651284e-01
5.88750000e+01 3.79633238e-02 -1.14497381e-01
5.91250000e+01 3.74130124e-02 -1.18680216e-01
5.93750000e+01 3.70378773e-02 -1.17861586e-01
5.96250000e+01 3.57242340e-02 -1.12855719e-01
5.98750000e+01 3.42628714e-02 -1.12672010e-01
6.01250000e+01 3.39096728e-02 -1.11598557e-01
6.03750000e+01 3.34640653e-02 -1.13127806e-01
6.06250000e+01 3.21310491e-02 -1.09909346e-01
6.08750000e+01 3.08299524e-02 -1.06331756e-01
6.11250000e+01 3.04135389e-02 -1.07730466e-01
6.13750000e+01 2.92332809e-02 -1.00881932e-01
6.16250000e+01 2.88300582e-02 -1.02148226e-01
6.18750000e+01 2.76009252e-02 -9.75228127e-02
6.21250000e+01 2.72184008e-02 -9.87119506e-02
6.23750000e+01 2.68995265e-02 -9.67690559e-02
6.26250000e+01 2.56365921e-02 -9.44873990e-02
6.28750000e+01 2.45815929e-02 -8.54713140e-02
6.31250000e+01 2.42021093e-02 -8.61896889e-02
6.33750000e+01 2.31827772e-02 -7.61834397e-02
6.36250000e+01 2.27555609e-02 -7.99069035e-02
6.38750000e+01 2.24813470e-02 -7.68615135e-02
6.41250000e+01 2.14204253e-02 -6.88184369e-02
6.43750000e+01 2.10968121e-02 -6.86170118e-02
6.46250000e+01 2.00729523e-02 -5.93887868e-02
6.48750000e+01 1.98187882e-02 -5.52047115e-02
6.51250000e+01 1.87958165e-02 -4.76912807e-02
6.53750000e+01 1.85630655e-02 -4.24494536e-02
6.56250000e+01 1.76585802e-02 -2.90037450e-02
6.58750000e+01 1.81039743e-02 -3.20450516e-02
6.61250000e+01 1.66713098e-02 -3.24600516e-03
6.63750000e+01 1.65991631e-02 1.01972063e-02
6.66250000e+01 1.56082361e-02 -2.10554543e-02
6.68750000e+01 1.53101819e-02 -1.99588158e-02
6.71250000e+01 1.44502473e-02 -5.80743931e-03
6.73750000e+01 1.36835995e-02 1.39898587e-02
6.76250000e+01 1.34212172e-02 1.56609478e-02
6.78750000e+01 1.30962825e-02 1.32156718e-02
6.81250000e+01 1.29449748e-02 2.42345426e-02
6.83750000e+01 1.21174086e-02 3.81185051e-02
6.86250000e+01 1.13825056e-02 5.81262951e-02
6.88750000e+01 1.16781511e-02 4.82524296e-02
6.91250000e+01 1.09601331e-02 6.93645473e-02
6.93750000e+01 1.02762975e-02 9.24414821e-02
6.96250000e+01 1.00576754e-02 9.62593679e-02
6.98750000e+01 9.89137326e-03 1.05485678e-01
7.01250000e+01 9.61198704e-03 1.05262348e-01
7.03750000e+01 9.04307059e-03 1.37450488e-01
7.06250000e+01 8.45224697e-03 1.66954746e-01
7.08750000e+01 8.63799331e-03 1.48306173e-01
7.11250000e+01 8.11869636e-03 1.84551476e-01
7.13750000e+01 7.92629330e-03 1.91293982e-01
7.16250000e+01 7.34584530e-03 2.20396646e-01
7.18750000e+01 7.22385035e-03 2.33278332e-01
7.21250000e+01 7.09828047e-03 2.46823161e-01
7.23750000e+01 6.57005494e-03 2.80345414e-01
7.26250000e+01 6.46194806e-03 2.94621250e-01
7.28750000e+01 6.25355160e-03 2.98942196e-01
7.31250000e+01 5.87586946e-03 3.47880118e-01
7.33750000e+01 5.78173690e-03 3.63412844e-01
7.36250000e+01 5.59080247e-03 3.69320568e-01
7.38750000e+01 5.21449819e-03 4.17235692e-01
7.41250000e+01 5.13650389e-03 4.33960434e-01
7.43750000e+01 5.00936990e-03 4.46458763e-01
7.46250000e+01 4.88094720e-03 4.60107944e-01
7.48750000e+01 4.60781912e-03 5.17144990e-01
7.51250000e+01 4.45291439e-03 5.26001732e-01
7.53750000e+01 4.21734083e-03 5.84542830e-01
7.56250000e+01 4.28235768e-03 5.58986524e-01
7.58750000e+01 4.02044635e-03 6.13615592e-01
7.61250000e+01 3.78668348e-03 6.68057529e-01
7.63750000e+01 3.83929469e-03 6.42407785e-01
7.66250000e+01 3.66434998e-03 7.00083722e-01
7.68750000e+01 3.58475650e-03 7.14506794e-01
7.71250000e+01 3.40207577e-03 7.65706541e-01
7.73750000e+01 3.43247543e-03 7.43617095e-01
7.76250000e+01 3.26646996e-03 7.93252416e-01
7.78750000e+01 3.16383086e-03 8.40592948e-01
7.81250000e+01 3.18396408e-03 8.20499788e-01
